path,title,creator_or_rights_holder,source_url,original_license_or_terms,license_url_or_notes
satellites/jpss-2/JPSS-2-1024px.png,,,https://eospso.nasa.gov/sites/default/files/sat/jp5.jpg,,
satellites/jpss-2/JPSS-2-512px.png,,,https://eospso.nasa.gov/sites/default/files/sat/jp5.jpg,,
satellites/jpss-2/JPSS-2-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/jpss-2/JPSS-2.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/kalpana-1/Kalpana-1-1024px.png,,,https://space.skyrocket.de/php/resize-img.php?pth=0&img=metsat-1__1.jpg,,
satellites/kalpana-1/Kalpana-1-512px.png,,,https://space.skyrocket.de/php/resize-img.php?pth=0&img=metsat-1__1.jpg,,
satellites/kalpana-1/Kalpana-1-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/kalpana-1/Kalpana-1.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/khalifasat/KhalifaSat-1024px.png,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/KhalifaSat_UAE_Satellite.jpg/960px-KhalifaSat_UAE_Satellite.jpg,,
satellites/khalifasat/KhalifaSat-512px.png,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/KhalifaSat_UAE_Satellite.jpg/960px-KhalifaSat_UAE_Satellite.jpg,,
satellites/khalifasat/KhalifaSat-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/khalifasat/KhalifaSat.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/landsat-7/Landsat-7-1024px.png,,,https://science.nasa.gov/wp-content/uploads/2023/10/Landsat_7_b-sm.png?w=300,,
satellites/landsat-7/Landsat-7-512px.png,,,https://science.nasa.gov/wp-content/uploads/2023/10/Landsat_7_b-sm.png?w=300,,
satellites/landsat-7/Landsat-7-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/landsat-7/Landsat-7.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/landsat-8/Landsat-8-1024px.png,,,https://science.nasa.gov/wp-content/uploads/2023/10/Landsat8_LDCM-sm.png?w=300,,
satellites/landsat-8/Landsat-8-512px.png,,,https://science.nasa.gov/wp-content/uploads/2023/10/Landsat8_LDCM-sm.png?w=300,,
satellites/landsat-8/Landsat-8-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/landsat-8/Landsat-8.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/landsat-9/landsat9-1024px.png,,,https://science.nasa.gov/wp-content/uploads/2023/05/landsat9.png,,
satellites/landsat-9/landsat9-512px.png,,,https://science.nasa.gov/wp-content/uploads/2023/05/landsat9.png,,
satellites/landsat-9/landsat9-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/landsat-9/landsat9.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/LARES/LARES-1024px.png,,,https://upload.wikimedia.org/wikipedia/commons/1/1e/LARESball_public.JPG,,
satellites/LARES/LARES-512px.png,,,https://upload.wikimedia.org/wikipedia/commons/1/1e/LARESball_public.JPG,,
satellites/LARES/LARES-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/LARES/LARES.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/meteosat-10/Meteosat-10-1024px.png,,,https://www.un-spider.org/sites/default/files/121219_Meteosat.jpg,,
satellites/meteosat-10/Meteosat-10-512px.png,,,https://www.un-spider.org/sites/default/files/121219_Meteosat.jpg,,
satellites/meteosat-10/Meteosat-10-icon.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/meteosat-10/Meteosat-10.svg,,repo maintainers,https://github.com/gamedaygeorge/satellite-visuals,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
satellites/meteosat-11/meteosat-11-1024px.png,,,https://tse1.mm.bing.net/th/id/OIP.QD0t5mg9RGwszGT_EkypJAHaKX?w=474&h=474&c=7,,
